From	Entry	Database	Gene Names	Gene Ontology (biological process)	Gene Ontology (molecular function)
evm.utg5885.52	Q920A6	swissprot	Scpep1 Risc	blood vessel diameter maintenance [GO:0097746]; negative regulation of blood pressure [GO:0045776]; proteolysis [GO:0006508]	serine-type carboxypeptidase activity [GO:0004185]
evm.utg5885.53	Q2PFU1	swissprot	HYPK QnpA-10575	negative regulation of apoptotic process [GO:0043066]; protein stabilization [GO:0050821]	
evm.utg5885.54	Q8IZC4	swissprot	RTKN2 PLEKHK1	adaptive immune response [GO:0002250]; hemopoiesis [GO:0030097]; intracellular signal transduction [GO:0035556]; positive regulation of cell population proliferation [GO:0008284]; signal transduction [GO:0007165]	
evm.utg5885.54.1.5c22f271	A0A6P8HSY2	trembl	LOC116295735	actomyosin contractile ring assembly [GO:0000915]; mitotic cytokinesis [GO:0000281]; septin ring organization [GO:0031106]	
evm.utg5885.55	A0A6P8HVV9	trembl	LOC116295742		signaling receptor activity [GO:0038023]
evm.utg5885.55.1.5c22f271	A0A6P8HVV9	trembl	LOC116295742		signaling receptor activity [GO:0038023]
evm.utg5885.56	A0A6P8I3Y7	trembl	LOC116295741	superoxide metabolic process [GO:0006801]	metal ion binding [GO:0046872]
evm.utg5885.57	Q1L8X9	swissprot	slc17a8 vglut3 si:ch211-264e16.4	chloride transmembrane transport [GO:1902476]; equilibrioception [GO:0050957]; L-glutamate import [GO:0051938]; L-glutamate transmembrane transport [GO:0015813]; neurotransmitter loading into synaptic vesicle [GO:0098700]; phosphate ion homeostasis [GO:0055062]; positive regulation of glutamate uptake involved in transmission of nerve impulse [GO:0051951]; regulation of acetylcholine uptake [GO:0051631]; regulation of synapse structure or activity [GO:0050803]; sensory perception [GO:0007600]; sodium-dependent phosphate transport [GO:0044341]; sodium ion transmembrane transport [GO:0035725]; synaptic transmission, glutamatergic [GO:0035249]; vestibular reflex [GO:0060005]	chloride channel activity [GO:0005254]; L-glutamate transmembrane transporter activity [GO:0005313]; L-glutamate uniporter activity [GO:0140788]; neurotransmitter transmembrane transporter activity [GO:0005326]; sodium:phosphate symporter activity [GO:0005436]; transmembrane transporter activity [GO:0022857]
evm.utg5885.57.1.5c22f26e	Q03567	swissprot	C38C10.2		transmembrane transporter activity [GO:0022857]
evm.utg5885.58	O70528	swissprot	HTR4	adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; adenylate cyclase-activating serotonin receptor signaling pathway [GO:0007192]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway [GO:0007186]; G protein-coupled serotonin receptor signaling pathway [GO:0098664]; large intestinal transit [GO:0120056]; maintenance of gastrointestinal epithelium [GO:0030277]; mucus secretion [GO:0070254]; positive regulation of MAPK cascade [GO:0043410]; regulation of appetite [GO:0032098]; regulation of postsynapse assembly [GO:0150052]; system process [GO:0003008]	G protein-coupled receptor activity [GO:0004930]; G protein-coupled serotonin receptor activity [GO:0004993]; serotonin receptor activity [GO:0099589]
evm.utg5885.60	Q6PE18	swissprot	pi4k2a pi4kii si:ch211-197k17.1	endosome organization [GO:0007032]; Golgi organization [GO:0007030]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]	1-phosphatidylinositol 4-kinase activity [GO:0004430]; AP-3 adaptor complex binding [GO:0035651]; ATP binding [GO:0005524]
evm.utg5885.62	P05363	swissprot	TACR2 TAC2R	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; G protein-coupled receptor signaling pathway [GO:0007186]; phospholipase C-activating tachykinin receptor signaling pathway [GO:0007209]; positive regulation of flagellated sperm motility [GO:1902093]; regulation of smooth muscle contraction [GO:0006940]; regulation of uterine smooth muscle contraction [GO:0070472]	G protein-coupled receptor activity [GO:0004930]; substance K receptor activity [GO:0016497]; tachykinin receptor activity [GO:0004995]
evm.utg5885.64	Q4R683	swissprot	CDADC1 QtsA-18829	DNA cytosine deamination [GO:0070383]; dUTP biosynthetic process [GO:0006229]; protein homotrimerization [GO:0070207]	cytidine deaminase activity [GO:0004126]; dCMP deaminase activity [GO:0004132]; dCTP deaminase activity [GO:0008829]; importin-alpha family protein binding [GO:0061676]; protein homodimerization activity [GO:0042803]; zinc ion binding [GO:0008270]
evm.utg5885.65	Q5U3U4	swissprot	cdadc1 zgc:101622	dUTP biosynthetic process [GO:0006229]; protein homotrimerization [GO:0070207]	cytidine deaminase activity [GO:0004126]; dCMP deaminase activity [GO:0004132]; dCTP deaminase activity [GO:0008829]; zinc ion binding [GO:0008270]
evm.utg5885.69	Q4R683	swissprot	CDADC1 QtsA-18829	DNA cytosine deamination [GO:0070383]; dUTP biosynthetic process [GO:0006229]; protein homotrimerization [GO:0070207]	cytidine deaminase activity [GO:0004126]; dCMP deaminase activity [GO:0004132]; dCTP deaminase activity [GO:0008829]; importin-alpha family protein binding [GO:0061676]; protein homodimerization activity [GO:0042803]; zinc ion binding [GO:0008270]
evm.utg5885.70	A0A6P8IAD1	trembl	LOC116299601		dCMP deaminase activity [GO:0004132]
evm.utg5885.71	A0A6P8I6B3	trembl	LOC116299599	cell surface receptor signaling pathway [GO:0007166]; G protein-coupled receptor signaling pathway [GO:0007186]	G protein-coupled receptor activity [GO:0004930]; transmembrane signaling receptor activity [GO:0004888]
evm.utg5885.72	Q3T0Z7	swissprot	QDPR	pteridine-containing compound metabolic process [GO:0042558]; tetrahydrobiopterin biosynthetic process [GO:0006729]	6,7-dihydropteridine reductase activity [GO:0004155]; NADH binding [GO:0070404]; NADPH binding [GO:0070402]
evm.utg5885.74	A0A1L8GXY4	swissprot	cfap43	cilium assembly [GO:0060271]; cilium movement [GO:0003341]; epithelial cilium movement involved in extracellular fluid movement [GO:0003351]; regulation of cilium beat frequency [GO:0003356]; sperm axoneme assembly [GO:0007288]	
evm.utg5885.75	A0A6P8I6C3	trembl	LOC116299609	regulation of gene expression [GO:0010468]	
evm.utg5885.75.1.5c22f272	A0A6P8I6C3	trembl	LOC116299609	regulation of gene expression [GO:0010468]	
evm.utg5885.75.2.5c22f272	A0A6P8I6C3	trembl	LOC116299609	regulation of gene expression [GO:0010468]	
evm.utg5885.76	A0A6P8IEA9	trembl	LOC116299610		extracellular matrix structural constituent [GO:0005201]; oligosaccharide binding [GO:0070492]
evm.utg5885.77	Q9IAV3	swissprot	hhex hex	anterior/posterior pattern specification [GO:0009952]; determination of left/right symmetry [GO:0007368]; digestive tract development [GO:0048565]; dorsal/ventral pattern formation [GO:0009953]; embryonic hemopoiesis [GO:0035162]; exocrine pancreas development [GO:0031017]; heart development [GO:0007507]; hepaticobiliary system development [GO:0061008]; liver development [GO:0001889]; liver morphogenesis [GO:0072576]; lymphangiogenesis [GO:0001946]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of endothelial cell differentiation [GO:0045603]; regulation of organ growth [GO:0046620]; regulation of transcription by RNA polymerase II [GO:0006357]; sprouting angiogenesis [GO:0002040]; thyroid gland development [GO:0030878]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]
evm.utg5885.78	A0A9W9ZQA9	trembl	ATP5I OS493_015107	proton motive force-driven ATP synthesis [GO:0015986]; proton transmembrane transport [GO:1902600]	proton transmembrane transporter activity [GO:0015078]
evm.utg5885.81	A0A6P8I6B8	trembl	LOC116299605	negative regulation of apoptotic process [GO:0043066]; protein ubiquitination [GO:0016567]; regulation of cell cycle [GO:0051726]; regulation of gene expression [GO:0010468]	ubiquitin protein ligase activity [GO:0061630]
evm.utg5885.82	Q6DHN0	swissprot	tmem53 zgc:92204	negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of ossification [GO:0030279]; negative regulation of osteoblast differentiation [GO:0045668]; regulation of nucleocytoplasmic transport [GO:0046822]	
evm.utg5885.84	P28362	swissprot	MSX2 HOX8	embryonic morphogenesis [GO:0048598]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of transcription by RNA polymerase II [GO:0006357]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]
evm.utg5885.86	Q90481	swissprot	nkx2.2a nk2.2 nkx2-2 nkx2.2	endocrine pancreas development [GO:0031018]; floor plate development [GO:0033504]; floor plate formation [GO:0021508]; glial cell migration [GO:0008347]; motor neuron axon guidance [GO:0008045]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of transcription by RNA polymerase II [GO:0006357]; Schwann cell development [GO:0014044]; spinal cord oligodendrocyte cell differentiation [GO:0021529]; spinal cord oligodendrocyte cell fate specification [GO:0021530]; ventral spinal cord interneuron differentiation [GO:0021514]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
evm.utg5885.87	Q90481	swissprot	nkx2.2a nk2.2 nkx2-2 nkx2.2	endocrine pancreas development [GO:0031018]; floor plate development [GO:0033504]; floor plate formation [GO:0021508]; glial cell migration [GO:0008347]; motor neuron axon guidance [GO:0008045]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of transcription by RNA polymerase II [GO:0006357]; Schwann cell development [GO:0014044]; spinal cord oligodendrocyte cell differentiation [GO:0021529]; spinal cord oligodendrocyte cell fate specification [GO:0021530]; ventral spinal cord interneuron differentiation [GO:0021514]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
evm.utg5885.92	Q9QXE2	swissprot	Poll Polk	base-excision repair, gap-filling [GO:0006287]; DNA biosynthetic process [GO:0071897]; double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via nonhomologous end joining [GO:0006303]; nucleotide-excision repair [GO:0006289]	5'-deoxyribose-5-phosphate lyase activity [GO:0051575]; DNA-directed DNA polymerase activity [GO:0003887]; DNA polymerase activity [GO:0034061]; nucleotidyltransferase activity [GO:0016779]
evm.utg5885.94	P08842	swissprot	STS ARSC1	epidermis development [GO:0008544]; steroid catabolic process [GO:0006706]	arylsulfatase activity [GO:0004065]; steryl-sulfatase activity [GO:0004773]; sulfuric ester hydrolase activity [GO:0008484]
evm.utg5885.95	P08842	swissprot	STS ARSC1	epidermis development [GO:0008544]; steroid catabolic process [GO:0006706]	arylsulfatase activity [GO:0004065]; steryl-sulfatase activity [GO:0004773]; sulfuric ester hydrolase activity [GO:0008484]
utg5885.equina_smart_1459316utrorf.mrna1	A7SKV6	trembl	NEMVEDRAFT_v1g122073		sulfuric ester hydrolase activity [GO:0008484]
evm.utg5885.96	A2VD00	swissprot	eif3a eif3s10	cytoplasmic translational initiation [GO:0002183]; formation of cytoplasmic translation initiation complex [GO:0001732]; translation reinitiation [GO:0002188]	mRNA binding [GO:0003729]; translation initiation factor activity [GO:0003743]
evm.utg5885.97	Q8WY21	swissprot	SORCS1 SORCS	neuropeptide signaling pathway [GO:0007218]; post-Golgi vesicle-mediated transport [GO:0006892]	neuropeptide receptor activity [GO:0008188]; protein binding [GO:0005515]; transmembrane signaling receptor activity [GO:0004888]
evm.utg5885.98	A3CT08	swissprot	rpl24 Memar_0575	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
evm.utg5885.100	Q5BJJ7	swissprot	bccip zgc:110272	microtubule anchoring [GO:0034453]; microtubule cytoskeleton organization [GO:0000226]; mitotic spindle assembly [GO:0090307]; mitotic spindle organization [GO:0007052]	
evm.utg5950.2	O96952	swissprot	THIO		protein-disulfide reductase activity [GO:0015035]
evm.utg5950.3	H9JW43	swissprot	CDA8	polysaccharide catabolic process [GO:0000272]	chitin deacetylase activity [GO:0004099]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]; zinc ion binding [GO:0008270]
evm.utg5950.4	A0A6P8I4R0	trembl	LOC116296078	DNA integration [GO:0015074]	
evm.utg5950.5	Q9Y5Q9	swissprot	GTF3C3	5S class rRNA transcription by RNA polymerase III [GO:0042791]; transcription by RNA polymerase III [GO:0006383]; transcription initiation at RNA polymerase III promoter [GO:0006384]; tRNA transcription by RNA polymerase III [GO:0042797]	protein binding [GO:0005515]; RNA polymerase III general transcription initiation factor activity [GO:0000995]
evm.utg5950.6	A0AAD9VBN9	trembl	P5673_007462	regulation of translation [GO:0006417]	mRNA binding [GO:0003729]; nucleic acid binding [GO:0003676]
evm.utg5950.7	A0A6P8HZG2	trembl	LOC116296842	endoplasmic reticulum unfolded protein response [GO:0030968]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; IRE1-mediated unfolded protein response [GO:0036498]; mRNA processing [GO:0006397]	ATP binding [GO:0005524]; nucleotide binding [GO:0000166]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; RNA endonuclease activity [GO:0004521]; RNA nuclease activity [GO:0004540]; unfolded protein binding [GO:0051082]
evm.utg5950.8	A0A6P8HAE9	trembl	LOC116289770	cellular response to tumor necrosis factor [GO:0071356]; toll-like receptor 4 signaling pathway [GO:0034142]	NF-kappaB binding [GO:0051059]
evm.utg5950.9	Q8N8A2	swissprot	ANKRD44		protein binding [GO:0005515]
evm.utg5950.10	Q28F72	swissprot	ccnc TGas144o20.1	positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]
evm.utg5950.11	Q32PE0	swissprot	POLR2F	transcription by RNA polymerase I [GO:0006360]; transcription by RNA polymerase II [GO:0006366]; tRNA transcription by RNA polymerase III [GO:0042797]	DNA-directed RNA polymerase activity [GO:0003899]
evm.utg5950.12	Q9JJT0	swissprot	Rcl1 Rnac	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; ribosomal small subunit biogenesis [GO:0042274]; RNA processing [GO:0006396]; rRNA processing [GO:0006364]	RNA endonuclease activity [GO:0004521]
evm.utg5950.13	E9QJ05	swissprot	pet117 si:dkeyp-20e4.6	mitochondrial respiratory chain complex IV assembly [GO:0033617]	
evm.utg5950.15	A0A6P8I954	trembl	LOC116297522	regulation of transcription by RNA polymerase II [GO:0006357]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
evm.utg5950.15.1.5c22f286	A0A6P8I954	trembl	LOC116297522	regulation of transcription by RNA polymerase II [GO:0006357]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
evm.utg5950.16	Q8C1A5	swissprot	Thop1	intracellular signal transduction [GO:0035556]; peptide catabolic process [GO:0043171]; peptide metabolic process [GO:0006518]; proteolysis [GO:0006508]	metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; peptidase activity [GO:0008233]; peptide binding [GO:0042277]
evm.utg5950.18	E9Q4F2	swissprot	Klhl18	positive regulation of mitotic cell cycle phase transition [GO:1901992]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]	protein binding [GO:0005515]; ubiquitin-like ligase-substrate adaptor activity [GO:1990756]
evm.utg5950.19	A0A6P8IAI7	trembl	LOC116297578	chromatin looping [GO:0140588]; establishment of mitotic sister chromatid cohesion [GO:0034087]; establishment of protein localization to chromatin [GO:0071169]; regulation of gene expression [GO:0010468]; replication-born double-strand break repair via sister chromatid exchange [GO:1990414]	chromatin binding [GO:0003682]; cohesin loader activity [GO:0061775]
evm.utg5950.20	A0A6P8HDP2	trembl	LOC116290309	chromatin looping [GO:0140588]; establishment of mitotic sister chromatid cohesion [GO:0034087]; establishment of protein localization to chromatin [GO:0071169]; regulation of gene expression [GO:0010468]; replication-born double-strand break repair via sister chromatid exchange [GO:1990414]	chromatin binding [GO:0003682]; cohesin loader activity [GO:0061775]
evm.utg5950.21	Q561T9	swissprot	leprot lepr-grp zgc:112430	late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511]; negative regulation of growth hormone receptor signaling pathway [GO:0060400]	
evm.utg5950.21.1.5c22f283	Q561T9	swissprot	leprot lepr-grp zgc:112430	late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511]; negative regulation of growth hormone receptor signaling pathway [GO:0060400]	
evm.utg5950.21.1.5c22f283.1.5c279672	O95214	swissprot	LEPROTL1 My047 UNQ577/PRO1139	late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511]; negative regulation of growth hormone receptor signaling pathway [GO:0060400]	identical protein binding [GO:0042802]; protein binding [GO:0005515]
evm.utg5950.22	A0A0C2MR15	trembl	RF11_15504	double-strand break repair via homologous recombination [GO:0000724]; nucleotide-excision repair involved in interstrand cross-link repair [GO:1901255]; resolution of meiotic recombination intermediates [GO:0000712]	damaged DNA binding [GO:0003684]; single-stranded DNA binding [GO:0003697]; single-stranded DNA endonuclease activity [GO:0000014]
evm.utg5950.23	A0ABN8S5Q4	trembl	PEVE_00017180	double-strand break repair via homologous recombination [GO:0000724]; nucleotide-excision repair involved in interstrand cross-link repair [GO:1901255]; resolution of meiotic recombination intermediates [GO:0000712]	damaged DNA binding [GO:0003684]; single-stranded DNA binding [GO:0003697]; single-stranded DNA endonuclease activity [GO:0000014]
evm.utg5950.24	Q9BV38	swissprot	WDR18	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000448]; DNA-templated DNA replication [GO:0006261]; rRNA processing [GO:0006364]	protein binding [GO:0005515]
evm.utg5950.24.1.5c22f287	Q9BV38	swissprot	WDR18	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000448]; DNA-templated DNA replication [GO:0006261]; rRNA processing [GO:0006364]	protein binding [GO:0005515]
evm.utg5950.29.4.5c22f283	P16621	swissprot	Lar CG10443	anatomical structure morphogenesis [GO:0009653]; axon extension [GO:0048675]; axon guidance [GO:0007411]; axon target recognition [GO:0007412]; centripetally migrating follicle cell migration [GO:0060269]; hematopoietic stem cell homeostasis [GO:0061484]; motor neuron axon guidance [GO:0008045]; negative regulation of homophilic cell adhesion [GO:1903386]; negative regulation of insulin receptor signaling pathway [GO:0046627]; nervous system development [GO:0007399]; neuron development [GO:0048666]; oogenesis [GO:0048477]; photoreceptor cell morphogenesis [GO:0008594]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of plasma membrane bounded cell projection assembly [GO:0120034]; R7 cell development [GO:0045467]; regulation of axon extension involved in axon guidance [GO:0048841]; retinal ganglion cell axon guidance [GO:0031290]; signal transduction [GO:0007165]; spermatogenesis [GO:0007283]; synaptic assembly at neuromuscular junction [GO:0051124]	insulin receptor binding [GO:0005158]; protein binding [GO:0005515]; protein tyrosine phosphatase activity [GO:0004725]; SAM domain binding [GO:0032093]; transmembrane receptor protein tyrosine phosphatase activity [GO:0005001]
evm.utg5950.29.6.5c22f284	P16621	swissprot	Lar CG10443	anatomical structure morphogenesis [GO:0009653]; axon extension [GO:0048675]; axon guidance [GO:0007411]; axon target recognition [GO:0007412]; centripetally migrating follicle cell migration [GO:0060269]; hematopoietic stem cell homeostasis [GO:0061484]; motor neuron axon guidance [GO:0008045]; negative regulation of homophilic cell adhesion [GO:1903386]; negative regulation of insulin receptor signaling pathway [GO:0046627]; nervous system development [GO:0007399]; neuron development [GO:0048666]; oogenesis [GO:0048477]; photoreceptor cell morphogenesis [GO:0008594]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of plasma membrane bounded cell projection assembly [GO:0120034]; R7 cell development [GO:0045467]; regulation of axon extension involved in axon guidance [GO:0048841]; retinal ganglion cell axon guidance [GO:0031290]; signal transduction [GO:0007165]; spermatogenesis [GO:0007283]; synaptic assembly at neuromuscular junction [GO:0051124]	insulin receptor binding [GO:0005158]; protein binding [GO:0005515]; protein tyrosine phosphatase activity [GO:0004725]; SAM domain binding [GO:0032093]; transmembrane receptor protein tyrosine phosphatase activity [GO:0005001]
evm.utg5950.29.2.5c22f283	P16621	swissprot	Lar CG10443	anatomical structure morphogenesis [GO:0009653]; axon extension [GO:0048675]; axon guidance [GO:0007411]; axon target recognition [GO:0007412]; centripetally migrating follicle cell migration [GO:0060269]; hematopoietic stem cell homeostasis [GO:0061484]; motor neuron axon guidance [GO:0008045]; negative regulation of homophilic cell adhesion [GO:1903386]; negative regulation of insulin receptor signaling pathway [GO:0046627]; nervous system development [GO:0007399]; neuron development [GO:0048666]; oogenesis [GO:0048477]; photoreceptor cell morphogenesis [GO:0008594]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of plasma membrane bounded cell projection assembly [GO:0120034]; R7 cell development [GO:0045467]; regulation of axon extension involved in axon guidance [GO:0048841]; retinal ganglion cell axon guidance [GO:0031290]; signal transduction [GO:0007165]; spermatogenesis [GO:0007283]; synaptic assembly at neuromuscular junction [GO:0051124]	insulin receptor binding [GO:0005158]; protein binding [GO:0005515]; protein tyrosine phosphatase activity [GO:0004725]; SAM domain binding [GO:0032093]; transmembrane receptor protein tyrosine phosphatase activity [GO:0005001]
evm.utg5950.29	P16621	swissprot	Lar CG10443	anatomical structure morphogenesis [GO:0009653]; axon extension [GO:0048675]; axon guidance [GO:0007411]; axon target recognition [GO:0007412]; centripetally migrating follicle cell migration [GO:0060269]; hematopoietic stem cell homeostasis [GO:0061484]; motor neuron axon guidance [GO:0008045]; negative regulation of homophilic cell adhesion [GO:1903386]; negative regulation of insulin receptor signaling pathway [GO:0046627]; nervous system development [GO:0007399]; neuron development [GO:0048666]; oogenesis [GO:0048477]; photoreceptor cell morphogenesis [GO:0008594]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of plasma membrane bounded cell projection assembly [GO:0120034]; R7 cell development [GO:0045467]; regulation of axon extension involved in axon guidance [GO:0048841]; retinal ganglion cell axon guidance [GO:0031290]; signal transduction [GO:0007165]; spermatogenesis [GO:0007283]; synaptic assembly at neuromuscular junction [GO:0051124]	insulin receptor binding [GO:0005158]; protein binding [GO:0005515]; protein tyrosine phosphatase activity [GO:0004725]; SAM domain binding [GO:0032093]; transmembrane receptor protein tyrosine phosphatase activity [GO:0005001]
evm.utg5950.29.1.5c22f283	P16621	swissprot	Lar CG10443	anatomical structure morphogenesis [GO:0009653]; axon extension [GO:0048675]; axon guidance [GO:0007411]; axon target recognition [GO:0007412]; centripetally migrating follicle cell migration [GO:0060269]; hematopoietic stem cell homeostasis [GO:0061484]; motor neuron axon guidance [GO:0008045]; negative regulation of homophilic cell adhesion [GO:1903386]; negative regulation of insulin receptor signaling pathway [GO:0046627]; nervous system development [GO:0007399]; neuron development [GO:0048666]; oogenesis [GO:0048477]; photoreceptor cell morphogenesis [GO:0008594]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of plasma membrane bounded cell projection assembly [GO:0120034]; R7 cell development [GO:0045467]; regulation of axon extension involved in axon guidance [GO:0048841]; retinal ganglion cell axon guidance [GO:0031290]; signal transduction [GO:0007165]; spermatogenesis [GO:0007283]; synaptic assembly at neuromuscular junction [GO:0051124]	insulin receptor binding [GO:0005158]; protein binding [GO:0005515]; protein tyrosine phosphatase activity [GO:0004725]; SAM domain binding [GO:0032093]; transmembrane receptor protein tyrosine phosphatase activity [GO:0005001]
evm.utg5950.29.3.5c22f283	P16621	swissprot	Lar CG10443	anatomical structure morphogenesis [GO:0009653]; axon extension [GO:0048675]; axon guidance [GO:0007411]; axon target recognition [GO:0007412]; centripetally migrating follicle cell migration [GO:0060269]; hematopoietic stem cell homeostasis [GO:0061484]; motor neuron axon guidance [GO:0008045]; negative regulation of homophilic cell adhesion [GO:1903386]; negative regulation of insulin receptor signaling pathway [GO:0046627]; nervous system development [GO:0007399]; neuron development [GO:0048666]; oogenesis [GO:0048477]; photoreceptor cell morphogenesis [GO:0008594]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of plasma membrane bounded cell projection assembly [GO:0120034]; R7 cell development [GO:0045467]; regulation of axon extension involved in axon guidance [GO:0048841]; retinal ganglion cell axon guidance [GO:0031290]; signal transduction [GO:0007165]; spermatogenesis [GO:0007283]; synaptic assembly at neuromuscular junction [GO:0051124]	insulin receptor binding [GO:0005158]; protein binding [GO:0005515]; protein tyrosine phosphatase activity [GO:0004725]; SAM domain binding [GO:0032093]; transmembrane receptor protein tyrosine phosphatase activity [GO:0005001]
evm.utg5950.29.5.5c22f284	P16621	swissprot	Lar CG10443	anatomical structure morphogenesis [GO:0009653]; axon extension [GO:0048675]; axon guidance [GO:0007411]; axon target recognition [GO:0007412]; centripetally migrating follicle cell migration [GO:0060269]; hematopoietic stem cell homeostasis [GO:0061484]; motor neuron axon guidance [GO:0008045]; negative regulation of homophilic cell adhesion [GO:1903386]; negative regulation of insulin receptor signaling pathway [GO:0046627]; nervous system development [GO:0007399]; neuron development [GO:0048666]; oogenesis [GO:0048477]; photoreceptor cell morphogenesis [GO:0008594]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of plasma membrane bounded cell projection assembly [GO:0120034]; R7 cell development [GO:0045467]; regulation of axon extension involved in axon guidance [GO:0048841]; retinal ganglion cell axon guidance [GO:0031290]; signal transduction [GO:0007165]; spermatogenesis [GO:0007283]; synaptic assembly at neuromuscular junction [GO:0051124]	insulin receptor binding [GO:0005158]; protein binding [GO:0005515]; protein tyrosine phosphatase activity [GO:0004725]; SAM domain binding [GO:0032093]; transmembrane receptor protein tyrosine phosphatase activity [GO:0005001]
evm.utg5950.30	P0CL18	swissprot	EIF2D LGTN	formation of translation preinitiation complex [GO:0001731]; translational initiation [GO:0006413]	translation initiation factor activity [GO:0003743]
evm.utg5950.30.1.5c22f284	P0CL18	swissprot	EIF2D LGTN	formation of translation preinitiation complex [GO:0001731]; translational initiation [GO:0006413]	translation initiation factor activity [GO:0003743]
evm.utg5950.31	Q54N45	swissprot	asf1 DDB_G0285513	DNA replication-dependent chromatin assembly [GO:0006335]; nucleosome assembly [GO:0006334]	
evm.utg5950.31.1.5c22f284	Q3C1E9	swissprot	ASF1	DNA replication-dependent chromatin assembly [GO:0006335]	protein binding [GO:0005515]
evm.utg5950.34.1.5c22f285	A0A6P8HDM8	trembl	LOC116290291	cell surface receptor signaling pathway [GO:0007166]; G protein-coupled receptor signaling pathway [GO:0007186]	calcium ion binding [GO:0005509]; G protein-coupled receptor activity [GO:0004930]; transmembrane signaling receptor activity [GO:0004888]
evm.utg5950.34	A0A6P8HDM8	trembl	LOC116290291	cell surface receptor signaling pathway [GO:0007166]; G protein-coupled receptor signaling pathway [GO:0007186]	calcium ion binding [GO:0005509]; G protein-coupled receptor activity [GO:0004930]; transmembrane signaling receptor activity [GO:0004888]
evm.utg5950.36	Q86VE3	swissprot	SATL1	spermidine acetylation [GO:0032918]	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; diamine N-acetyltransferase activity [GO:0004145]; spermidine binding [GO:0019809]
evm.utg5950.39	O44252	swissprot	rost CG9552	myoblast fusion [GO:0007520]	
